"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_nonprofit.org","FirstLinkDate_alsnonprofit.org","LastLinkDate_nonprofit.org"
220,"change-cit.com",618,-1,1,2,1560,66215,21588,20/05/2011 00:00,10/08/2013 00:00,"216.246.79.49","216.246.79.0","US","com",19,1,2,13/07/2013 00:00,13/07/2013 00:00
221,"showtickets4locals.com",565,-1,1,2,2808,266,216,02/11/2010 00:00,10/08/2013 00:00,"66.205.80.90","66.205.80.0","US","com",17,8,2,10/01/2008 00:00,22/01/2008 00:00
222,"ruralhallfire.com",74,-1,1,2,230,174401,78235,17/03/2008 00:00,28/07/2013 00:00,"50.63.202.91","50.63.202.0","US","com",12,5,2,18/10/2009 00:00,18/10/2009 00:00
223,"truthandfairness.org",101,-1,1,2,520,367123,299238,18/02/2008 00:00,16/12/2011 00:00,"174.132.191.250","174.132.191.0","US","org",7,11,2,13/12/2009 00:00,13/12/2009 00:00
224,"coolock.com",24,-1,1,2,33,964402,964401,14/01/2008 00:00,29/07/2013 00:00,"82.98.86.161","82.98.86.0","DE","com",0,0,2,26/10/2011 00:00,17/11/2011 00:00
225,"tuvanduhoc.vn",5585,-1,1,2,177440,202339,71206,21/06/2008 00:00,29/07/2013 00:00,"125.253.119.14","125.253.119.0","VN","vn",19,2,2,31/03/2012 00:00,31/03/2012 00:00
226,"cwanswers.com",6621,-1,1,2,888446,3062204,979393,03/09/2008 00:00,24/09/2012 00:00,"74.52.249.77","74.52.249.0","US","com",16,8,2,29/01/2009 00:00,29/01/2009 00:00
227,"rezoom.com",1402,-1,1,2,13473,13248,10954,14/01/2008 00:00,21/09/2010 00:00,"199.192.156.229","199.192.156.0","US","com",13,24,2,14/01/2008 00:00,02/02/2008 00:00
228,"nexuslv.org",22,-1,1,2,18824,889,861,12/03/2009 00:00,09/10/2009 00:00,"210.252.7.130","210.252.7.0","JP","org",5,4,2,12/03/2009 00:00,12/03/2009 00:00
229,"zeroerror.us",5,-1,1,2,14,351,284,19/02/2008 00:00,09/03/2009 00:00,"","","","us",0,0,2,28/11/2008 00:00,28/11/2008 00:00
