"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_pharmacycompany.com","FirstLinkDate_pharmacycompany.com","LastLinkDate_pharmacycompany.com"
108,"holahola.pl",2115,386599,1,1,34205,12492,7276,22/01/2008 00:00,10/08/2013 00:00,"89.161.224.95","89.161.224.0","PL","pl",36,17,1,12/06/2012 00:00,12/06/2012 00:00
109,"hiendaihoa.com",6512,427814,1,1,450271,1155522,380615,23/01/2008 00:00,10/08/2013 00:00,"221.132.34.158","221.132.34.0","VN","com",36,11,1,10/06/2013 00:00,10/06/2013 00:00
110,"your-own-search.com",1658,691265,1,1,1741744,372143,21013,07/12/2009 00:00,10/08/2013 00:00,"199.229.232.102","199.229.232.0","US","com",24,6,1,11/05/2012 00:00,15/07/2012 00:00
111,"rotary3050.org.in",198,763691,1,1,1360,20374,14447,28/07/2010 00:00,10/08/2013 00:00,"91.148.168.243","91.148.168.0","BG","in",28,4,1,18/04/2012 00:00,18/04/2012 00:00
112,"inventforum.com",72158,938583,1,1,3312386,1590609,416569,10/01/2008 00:00,10/08/2013 00:00,"213.136.48.118","213.136.48.0","SE","com",32,15,1,26/07/2012 00:00,26/07/2012 00:00
113,"rxcareer.org",148,-1,1,1,623,23080,9317,11/09/2010 00:00,10/08/2013 00:00,"173.254.28.124","173.254.28.0","US","org",8,0,1,24/05/2013 00:00,24/05/2013 00:00
114,"scut-usa.org",6158,-1,1,1,36352,27580,8854,07/11/2008 00:00,10/08/2013 00:00,"38.113.115.105","38.113.115.0","US","org",18,5,1,05/05/2012 00:00,05/05/2012 00:00
115,"mortgageblog.co.uk",1410,-1,1,1,9922,4875,4236,15/04/2009 00:00,10/08/2013 00:00,"194.145.196.115","194.145.196.0","UK","uk",21,10,1,06/04/2012 00:00,06/04/2012 00:00
116,"islamickorner.net",1669,-1,1,1,49730,567941,174159,01/06/2011 00:00,10/08/2013 00:00,"206.253.167.162","206.253.167.0","US","net",30,9,1,28/05/2012 00:00,28/05/2012 00:00
117,"medicalmarijuanaoklahoma.org",45,-1,1,1,24438,3706,3413,29/05/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",13,0,1,01/03/2013 00:00,20/07/2013 00:00
118,"gunwebsites.net",3095,-1,1,1,703337,56652,40748,29/08/2010 00:00,10/08/2013 00:00,"173.201.92.1","173.201.92.0","US","net",39,22,1,19/03/2013 00:00,19/03/2013 00:00
119,"el-rincon.net",809,-1,1,1,4217,118939,40639,28/01/2008 00:00,10/08/2013 00:00,"217.76.130.52","217.76.130.0","ES","net",25,0,1,12/04/2012 00:00,12/04/2012 00:00
120,"medicalmarijuanautah.org",196,-1,1,1,1178,5458,3971,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",26,7,1,25/02/2013 00:00,10/07/2013 00:00
121,"taze.us",301,-1,1,1,2726,3267,1368,18/08/2010 00:00,10/08/2013 00:00,"173.236.128.85","173.236.128.0","US","us",19,2,1,06/06/2012 00:00,06/06/2012 00:00
122,"lastorres.com.mx",11119,-1,1,1,2117408,122007,47802,08/11/2008 00:00,06/05/2013 00:00,"94.23.230.218","94.23.230.0","FR","mx",15,3,1,07/08/2012 00:00,03/05/2013 00:00
123,"kine.lt",6826,-1,1,1,34619,640469,356511,24/01/2008 00:00,10/08/2013 00:00,"92.61.46.16","92.61.46.0","LT","lt",26,8,1,18/04/2012 00:00,18/04/2012 00:00
124,"medicalmarijuanawyoming.org",102,-1,1,1,507,5230,4253,25/05/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,1,02/08/2013 00:00,02/08/2013 00:00
125,"hake.jp",2475,-1,1,1,16511,33557,16034,24/01/2008 00:00,09/08/2013 00:00,"202.133.121.224","202.133.121.0","JP","jp",19,11,1,17/04/2012 00:00,17/04/2012 00:00
126,"olimpia-nutritions.co.uk",1100,-1,1,1,5972,36467,4715,09/10/2011 00:00,25/10/2012 00:00,"46.30.211.60","46.30.211.0","DK","uk",10,1,1,26/07/2012 00:00,26/07/2012 00:00
127,"louisianamedicalmarijuana.org",114,-1,1,1,604,4502,3959,19/06/2012 00:00,02/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",19,1,1,02/03/2013 00:00,21/07/2013 00:00
