"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
62,"adddir.info",9901,23031,1,4,6023513,769501,404667,28/02/2008 00:00,23/07/2013 00:00,"205.196.211.22","205.196.211.0","US","info",25,17,4,10/03/2013 00:00,10/03/2013 00:00
63,"submit2dir.info",6487,35767,1,4,4291837,457207,342280,08/05/2008 00:00,10/07/2013 00:00,"205.196.211.22","205.196.211.0","US","info",24,14,4,12/03/2013 00:00,12/03/2013 00:00
64,"theexperthost.com",3147,512527,1,4,87049,380595,153715,17/10/2008 00:00,10/08/2013 00:00,"198.154.240.154","198.154.240.0","US","com",31,21,4,27/07/2012 00:00,27/07/2012 00:00
65,"alivincent.com",3751,936911,1,4,42750,28140,9911,17/09/2009 00:00,10/08/2013 00:00,"97.74.215.148","97.74.215.0","US","com",26,15,4,08/04/2012 00:00,08/04/2012 00:00
66,"medicalmarijuanaiowa.org",67,-1,1,4,457,4049,3485,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",16,0,4,02/04/2013 00:00,11/07/2013 00:00
67,"c404.net",5525,-1,1,4,165670,104814,44408,19/02/2008 00:00,10/08/2013 00:00,"50.22.11.31","50.22.11.0","US","net",23,18,4,27/04/2012 00:00,22/03/2013 00:00
68,"medicalmarijuanawisconsin.org",355,-1,1,4,3361,8711,4318,22/10/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",25,0,4,02/05/2013 00:00,05/08/2013 00:00
69,"medicalmarijuanamississippi.net",114,-1,1,4,1240,6069,5018,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",20,0,4,18/04/2013 00:00,06/08/2013 00:00
70,"howtocleanseyourbody.com",4712,-1,1,4,63597,717191,232561,18/06/2010 00:00,05/01/2013 00:00,"199.59.58.162","199.59.58.0","US","com",14,4,4,13/06/2012 00:00,14/06/2012 00:00
71,"medicalmarijuanamissouri.net",351,-1,1,4,4751,4558,3804,17/12/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",25,4,4,12/03/2013 00:00,21/07/2013 00:00
72,"marcferris.com",128,-1,1,4,1234,626,393,24/12/2011 00:00,02/01/2013 00:00,"81.88.48.79","81.88.48.0","IT","com",10,1,4,07/07/2012 00:00,22/12/2012 00:00
73,"blanchardstown.net",12,-1,1,4,3425,1021925,1021925,08/06/2009 00:00,07/03/2013 00:00,"82.98.86.174","82.98.86.0","DE","net",0,0,4,17/10/2011 00:00,17/10/2011 00:00
