"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sushirestaurant.com","FirstLinkDate_sushirestaurant.com","LastLinkDate_sushirestaurant.com"
85,"placestoeatokay.com",152,-1,1,6,380520,97345,62592,14/10/2011 00:00,10/08/2013 00:00,"70.34.194.222","70.34.194.0","US","com",9,5,6,01/11/2011 00:00,15/01/2012 00:00
86,"ferraricluboflasvegas.com",1661,-1,1,6,10232,45328,888,19/03/2008 00:00,10/08/2013 00:00,"76.9.16.3","76.9.16.0","US","com",23,14,6,05/04/2008 00:00,05/07/2013 00:00
87,"nypa.com",144,-1,1,6,97168,137092,31568,17/09/2009 00:00,01/08/2013 00:00,"174.120.28.58","174.120.28.0","US","com",15,17,6,14/04/2011 00:00,13/07/2013 00:00
88,"pcwaver.com",41,-1,1,6,8283,39205,33482,10/02/2008 00:00,10/08/2013 00:00,"67.20.113.241","67.20.113.0","US","com",23,22,6,09/03/2013 00:00,09/03/2013 00:00
89,"hirosushi.com",95,-1,1,6,125,1629,1551,16/02/2008 00:00,05/08/2013 00:00,"208.73.211.152","208.73.211.0","US","com",8,0,6,03/10/2009 00:00,10/11/2009 00:00
90,"lycos.fi",3694,-1,1,6,9402600,255658,159120,13/09/2010 00:00,10/08/2013 00:00,"209.202.254.14","209.202.254.0","US","fi",38,41,6,08/06/2013 00:00,08/06/2013 00:00
91,"walterslasvegasguide.com",233,-1,1,6,1479,632,620,26/06/2012 00:00,09/08/2013 00:00,"141.101.116.92","141.101.116.0","EU","com",14,3,6,07/04/2011 00:00,27/09/2012 00:00
92,"ilivable.com",33,-1,1,6,327,71928,46305,25/02/2013 00:00,31/07/2013 00:00,"174.120.150.157","174.120.150.0","US","com",11,0,6,18/03/2013 00:00,18/03/2013 00:00
93,"dining5.com",415,-1,1,6,4271,126508,69716,24/01/2008 00:00,10/08/2013 00:00,"176.9.113.252","176.9.113.0","DE","com",20,7,6,17/09/2008 00:00,17/09/2008 00:00
94,"nevadaforvisitors.com",123,-1,1,6,87670,2275,2224,12/05/2011 00:00,10/08/2013 00:00,"198.66.254.222","198.66.254.0","US","com",27,18,6,13/06/2011 00:00,01/07/2013 00:00
95,"stayhgv.com",50,-1,1,6,329,1497,786,20/02/2013 00:00,10/08/2013 00:00,"174.136.91.82","174.136.91.0","US","com",21,29,6,03/07/2013 00:00,03/07/2013 00:00
96,"lvrg.com",629,-1,1,6,3265,1215,816,16/11/2009 00:00,10/06/2013 00:00,"75.151.28.76","75.151.28.0","US","com",9,12,6,25/04/2008 00:00,31/01/2013 00:00
97,"airportslasvegas.com",286,-1,1,6,19760,23928,19931,26/04/2010 00:00,08/08/2013 00:00,"66.147.244.161","66.147.244.0","US","com",12,4,6,02/10/2010 00:00,15/07/2012 00:00
98,"thebitecard.com",373,-1,1,6,1902,45334,6492,02/02/2008 00:00,10/08/2013 00:00,"66.209.73.106","66.209.73.0","US","com",23,25,6,15/04/2010 00:00,25/07/2010 00:00
99,"yellowpages.com",331984,559,1,5,43366383,90346516,1438715,09/01/2008 00:00,10/08/2013 00:00,"208.93.105.105","208.93.105.0","US","com",58,61,5,28/01/2008 00:00,13/06/2010 00:00
100,"fox5vegas.com",54128,56898,1,5,3615554,7516051,695376,09/01/2008 00:00,10/08/2013 00:00,"184.28.17.219","184.28.17.0","US","com",54,39,5,21/06/2010 00:00,21/06/2010 00:00
101,"eastvalleytribune.com",91135,94126,1,5,11868243,26069279,1973571,11/01/2008 00:00,10/08/2013 00:00,"192.104.182.209","192.104.182.0","US","com",48,49,5,03/08/2010 00:00,03/08/2010 00:00
