"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_printingshop.com","FirstLinkDate_printingshop.com","LastLinkDate_printingshop.com"
163,"uns.ac.id",85529,36435,1,6,8878687,1625479,731784,24/01/2008 00:00,10/08/2013 00:00,"203.6.148.11","203.6.148.0","ID","id",45,32,6,21/11/2011 00:00,22/11/2011 00:00
164,"az-links.info",6401,45360,1,6,2012602,307938,166814,13/02/2008 00:00,10/08/2013 00:00,"207.7.89.167","207.7.89.0","US","info",37,22,6,26/08/2012 00:00,26/08/2012 00:00
165,"want2blog.net",5195,434269,1,6,167541,122036,77172,13/09/2010 00:00,10/08/2013 00:00,"85.214.225.100","85.214.225.0","DE","net",36,16,6,03/12/2011 00:00,03/12/2011 00:00
166,"boombotix.com",1735,705733,1,6,53768,50184,39992,15/04/2011 00:00,10/08/2013 00:00,"54.243.92.108","54.243.92.0","US","com",37,28,6,27/11/2011 00:00,01/01/2012 00:00
167,"quicm.net",3023,-1,1,6,19104,25059,20809,25/09/2009 00:00,10/08/2013 00:00,"69.163.146.90","69.163.146.0","US","net",29,8,6,23/12/2011 00:00,16/05/2012 00:00
168,"zerosheep.com",336,-1,1,6,3821,3479,1896,23/02/2009 00:00,01/07/2013 00:00,"174.120.233.250","174.120.233.0","US","com",10,7,6,21/11/2011 00:00,21/11/2011 00:00
169,"braunglasmafia.de",101,-1,1,6,7593,3930,2065,04/02/2008 00:00,10/08/2013 00:00,"212.90.148.100","212.90.148.0","DE","de",16,1,6,22/11/2011 00:00,22/11/2011 00:00
170,"hamala.org",104,-1,1,6,3624,201,152,11/10/2010 00:00,10/08/2013 00:00,"93.185.104.27","93.185.104.0","CZ","org",13,8,6,28/11/2011 00:00,24/07/2012 00:00
171,"reelcomix.com",8320,-1,1,6,142712,161063,56499,07/06/2008 00:00,10/08/2013 00:00,"207.32.176.72","207.32.176.0","US","com",19,12,6,26/06/2012 00:00,08/08/2012 00:00
172,"adultchatbbs.com",720,-1,1,6,80374,86305,55987,21/12/2011 00:00,10/08/2013 00:00,"108.170.23.218","108.170.23.0","US","com",9,4,6,18/03/2013 00:00,17/07/2013 00:00
173,"nice-plastic.com",10731,-1,1,6,97034,21794,19610,27/07/2012 00:00,10/08/2013 00:00,"64.120.157.183","64.120.157.0","US","com",42,12,6,27/05/2012 00:00,27/05/2012 00:00
174,"globalbusinessmarketing.com",17,-1,1,6,116,740,601,18/12/2011 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,6,25/11/2011 00:00,12/12/2011 00:00
175,"freepligg.co.cc",519,-1,1,6,3713,41242,10853,29/11/2010 00:00,17/09/2012 00:00,"69.162.68.236","69.162.68.0","US","cc",9,6,6,01/11/2011 00:00,01/11/2011 00:00
176,"tudienykhoa.net",270,-1,1,6,11086,12604,8928,25/09/2009 00:00,10/08/2013 00:00,"173.236.158.229","173.236.158.0","US","net",33,3,6,19/12/2011 00:00,17/07/2013 00:00
177,"yoyoing.ru",1400,-1,1,6,28882,35428,11178,16/02/2008 00:00,10/08/2013 00:00,"144.76.1.10","144.76.1.0","DE","ru",23,5,6,23/12/2011 00:00,20/05/2012 00:00
178,"toyboxglobal.com.au",358,-1,1,6,4037,25098,10005,05/11/2010 00:00,12/07/2013 00:00,"50.63.211.60","50.63.211.0","US","au",12,8,6,30/11/2011 00:00,30/11/2011 00:00
179,"diktiergeraete-forum.de",5866,-1,1,6,30357,328179,171529,01/02/2010 00:00,26/07/2013 00:00,"85.13.133.58","85.13.133.0","DE","de",36,12,6,18/04/2013 00:00,05/06/2013 00:00
180,"prhv.info",390,-1,1,6,1776,374581,65210,27/11/2011 00:00,10/08/2013 00:00,"74.53.185.152","74.53.185.0","US","info",12,3,6,07/04/2013 00:00,07/04/2013 00:00
181,"websitelistings.info",1906,130200,1,5,84432,229665,128809,26/11/2011 00:00,31/07/2013 00:00,"50.116.122.125","50.116.122.0","US","info",14,6,5,01/03/2013 00:00,01/03/2013 00:00
182,"lovedir.info",1784,543799,1,5,51279,334510,85226,19/06/2012 00:00,31/07/2013 00:00,"50.116.86.181","50.116.86.0","US","info",15,12,5,23/03/2013 00:00,23/03/2013 00:00
183,"thestatedtruth.com",11307,837392,1,5,225358,75558,53300,02/01/2010 00:00,10/08/2013 00:00,"184.168.58.1","184.168.58.0","US","com",45,5,5,12/05/2012 00:00,24/08/2012 00:00
184,"piekna-miejscowka.pl",2466,-1,1,5,236423,238122,78034,02/01/2011 00:00,10/08/2013 00:00,"185.5.98.111","185.5.98.0","PL","pl",30,2,5,27/11/2011 00:00,03/12/2011 00:00
185,"sonialopes.com.br",1804,-1,1,5,15030,16684,6557,28/01/2008 00:00,08/08/2013 00:00,"80.156.86.78","80.156.86.0","DE","br",14,3,5,23/11/2011 00:00,23/11/2011 00:00
186,"fachmanowo.pl",4044,-1,1,5,67436,344716,140659,16/01/2008 00:00,10/08/2013 00:00,"178.63.88.200","178.63.88.0","DE","pl",25,4,5,16/08/2011 00:00,16/08/2011 00:00
187,"cellphonechit.com",9,-1,1,5,28,1363067,1363066,06/02/2008 00:00,07/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,5,18/07/2009 00:00,04/01/2010 00:00
188,"frauen-ebooks.de",93,-1,1,5,442,2717,1234,29/04/2010 00:00,13/04/2012 00:00,"195.143.188.164","195.143.188.0","UK","de",8,0,5,03/12/2011 00:00,03/12/2011 00:00
189,"triathlongearshop.com",6,-1,1,5,80,3893,672,14/06/2012 00:00,28/07/2013 00:00,"66.147.242.186","66.147.242.0","US","com",5,0,5,20/06/2012 00:00,20/06/2012 00:00
