"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cnyinthedesert.com","FirstLinkDate_cnyinthedesert.com","LastLinkDate_cnyinthedesert.com"
62,"preferredpublicrelations.com",439,-1,1,2,2547,1515,1031,18/01/2008 00:00,10/08/2013 00:00,"72.3.173.65","72.3.173.0","US","com",23,25,2,15/02/2013 00:00,24/02/2013 00:00
63,"preferredpr.com",186,-1,1,2,325,1248,703,16/02/2008 00:00,10/08/2013 00:00,"72.3.173.65","72.3.173.0","US","com",1,0,2,28/02/2013 00:00,28/02/2013 00:00
64,"wildhogs.se",130,-1,1,2,23864,2225,1793,15/06/2012 00:00,10/08/2013 00:00,"46.30.211.53","46.30.211.0","DK","se",21,2,2,02/03/2013 00:00,06/08/2013 00:00
65,"vegasnewschannel.com",585,-1,1,2,11879,533269,21606,13/02/2008 00:00,01/08/2013 00:00,"174.132.167.252","174.132.167.0","US","com",15,15,2,06/04/2012 00:00,06/04/2012 00:00
66,"gamerelax.ru",2784,-1,1,2,60175,174323,52506,14/02/2009 00:00,09/10/2012 00:00,"67.228.45.68","67.228.45.0","US","ru",10,8,2,08/04/2012 00:00,01/08/2012 00:00
67,"openvegas.com",5382,-1,1,2,1063877,2344800,628856,11/03/2008 00:00,10/08/2013 00:00,"216.92.43.76","216.92.43.0","US","com",46,29,2,13/02/2013 00:00,18/02/2013 00:00
68,"britani.ru",14956,-1,1,2,114062,158809,59954,09/01/2008 00:00,10/08/2013 00:00,"178.79.175.118","178.79.175.0","UK","ru",43,10,2,26/07/2012 00:00,26/07/2012 00:00
69,"natural-skincare-products.info",478,-1,1,2,23287,4969,2260,10/04/2011 00:00,09/02/2013 00:00,"216.172.170.48","216.172.170.0","US","info",9,0,2,16/05/2012 00:00,31/12/2012 00:00
70,"desertcompanion.org",34,-1,1,2,16859,1755,1552,09/11/2010 00:00,10/07/2013 00:00,"66.209.79.122","66.209.79.0","US","org",21,21,2,12/01/2012 00:00,12/01/2012 00:00
71,"weeklyseven.com",2700,-1,1,2,574600,156000,48054,07/03/2010 00:00,01/08/2013 00:00,"184.168.221.1","184.168.221.0","US","com",29,30,2,31/05/2012 00:00,24/07/2013 00:00
72,"medicalmarijuanamissouri.net",351,-1,1,2,4751,4558,3804,17/12/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",25,4,2,21/04/2013 00:00,23/07/2013 00:00
73,"angstweg.nl",27577,-1,1,2,348275,99915,39655,31/01/2008 00:00,10/08/2013 00:00,"81.30.65.151","81.30.65.0","NL","nl",39,11,2,22/04/2012 00:00,22/04/2012 00:00
74,"las-vegas-strip-map.com",52,-1,1,2,145,785,359,14/03/2012 00:00,27/07/2013 00:00,"184.168.40.1","184.168.40.0","US","com",5,0,2,14/02/2013 00:00,20/02/2013 00:00
75,"childbook.com",8049,-1,1,2,77668,33091,19340,16/01/2008 00:00,10/08/2013 00:00,"198.246.58.72","198.246.58.0","US","com",36,33,2,29/12/2012 00:00,04/01/2013 00:00
76,"golfstrim.net",28154,-1,1,2,383926,985025,229404,26/04/2008 00:00,10/08/2013 00:00,"178.162.182.163","178.162.182.0","DE","net",48,9,2,29/04/2012 00:00,29/04/2012 00:00
77,"forumgratis.biz",40472,-1,1,2,1100308,439963,190978,16/01/2008 00:00,09/08/2013 00:00,"62.75.235.160","62.75.235.0","DE","biz",28,9,2,06/05/2012 00:00,06/05/2012 00:00
