"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_arizonasandsrvpark.com","FirstLinkDate_arizonasandsrvpark.com","LastLinkDate_arizonasandsrvpark.com"
64,"dzbtw.com",0,-1,1,4,0,40138,40138,06/03/2013 00:00,10/08/2013 00:00,"202.134.77.20","202.134.77.0","HK","com",0,0,4,10/04/2013 00:00,03/08/2013 00:00
65,"youtravelarizona.com",113,-1,1,4,11060,157,155,13/04/2011 00:00,15/02/2013 00:00,"69.89.22.127","69.89.22.0","US","com",15,14,4,08/05/2009 00:00,04/02/2013 00:00
66,"11111a.com",617,-1,1,4,5922,193908,65256,10/05/2010 00:00,10/08/2013 00:00,"113.10.144.97","113.10.144.0","HK","com",31,13,4,25/04/2013 00:00,27/04/2013 00:00
67,"clicks2travel.com",85,-1,1,4,256,28494,21981,09/01/2008 00:00,10/08/2013 00:00,"67.18.0.8","67.18.0.0","US","com",12,7,4,26/03/2008 00:00,26/03/2008 00:00
68,"bazsites.com",1128,181144,1,3,92684,1974749,708366,24/01/2008 00:00,10/08/2013 00:00,"209.62.124.61","209.62.124.0","US","com",25,14,3,10/09/2009 00:00,10/09/2009 00:00
69,"57883.net",8428,220763,1,3,106605,2091795,339201,03/04/2010 00:00,10/08/2013 00:00,"223.5.194.193","223.5.194.0","CN","net",33,9,3,14/04/2013 00:00,06/07/2013 00:00
70,"web-max.ca",2880,235353,1,3,1752919,3955384,1028447,28/01/2008 00:00,10/08/2013 00:00,"64.22.71.229","64.22.71.0","US","ca",32,18,3,15/05/2010 00:00,28/05/2013 00:00
71,"26513.cn",2290,481853,1,3,122558,1755002,284914,21/12/2009 00:00,10/08/2013 00:00,"101.55.32.55","101.55.32.0","KR","cn",16,23,3,19/05/2013 00:00,19/05/2013 00:00
72,"7yue.org",1930,529048,1,3,74676,931410,245171,06/09/2008 00:00,10/08/2013 00:00,"103.30.42.35","103.30.42.0","HK","org",28,20,3,30/05/2013 00:00,01/06/2013 00:00
73,"rv-clubs.us",4267,645988,1,3,41410,2671,1324,01/02/2008 00:00,10/08/2013 00:00,"184.173.117.75","184.173.117.0","US","us",32,27,3,21/01/2008 00:00,10/01/2013 00:00
74,"odyssearch.com",2728,753909,1,3,67212,1723655,645159,09/01/2008 00:00,10/08/2013 00:00,"69.55.52.54","69.55.52.0","US","com",31,24,3,19/10/2008 00:00,19/10/2008 00:00
75,"mtshastanews.com",19020,838927,1,3,490519,15464115,1201552,15/07/2008 00:00,10/08/2013 00:00,"205.139.40.72","205.139.40.0","US","com",33,35,3,05/10/2010 00:00,05/10/2010 00:00
76,"icatu.org",251,-1,1,3,3850,2747341,142875,26/01/2008 00:00,09/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","org",16,19,3,07/02/2011 00:00,22/02/2011 00:00
77,"tatootags.com",27,-1,1,3,3598,1025782,1025781,12/01/2008 00:00,31/07/2013 00:00,"141.8.225.38","141.8.225.0","CH","com",0,0,3,30/09/2009 00:00,30/09/2009 00:00
